id	drivetime	latitude	longitude	elevation	soc	vehicle_id	ext_temp
26453	17	6.24511	-75.5907	1484.48	52	FRV020	25
26711	15	6.24677	-75.6147	1594.19	47	FRV020	22.5
26776	1	6.25073	-75.6042	1523.64	45	FRV020	21.5
26778	1	6.25064	-75.603	1519.4	45	FRV020	21.5
26790	3	6.25462	-75.5931	1482.42	45	FRV020	22.5
26806	3	6.25559	-75.5813	1468.35	44	FRV020	22.5
26810	4	6.25695	-75.5807	1470.49	44	FRV020	22.5
26824	9	6.28749	-75.5698	1486.62	41	FRV020	22
26829	1	6.29107	-75.5687	1505.61	41	FRV020	22
26833	2	6.29263	-75.5682	1514.04	41	FRV020	22
26836	1	6.29636	-75.567	1527.78	40	FRV020	22.5
26860	6	6.30462	-75.5604	1487.39	40	FRV020	22.5
26867	1	6.30907	-75.5599	1469.54	40	FRV020	22
26869	2	6.3108	-75.559	1456.75	40	FRV020	22
32466	10	6.30867	-75.5584	1445.73	95	FVQ731	28.5
32468	1	6.30922	-75.5583	1445.02	94	FVQ731	28.5
32474	1	6.31245	-75.5577	1448.63	94	FVQ731	27.5
32478	1	6.3138	-75.5571	1442.86	94	FVQ731	27.5
32486	4	6.31377	-75.5583	1455.07	94	FVQ731	27.5
34950	68	6.19512	-75.5821	1507.16	97	FVQ731	23
36685	1	6.26489	-75.5993	1501.96	54	FVQ731	24
36874	28	6.26488	-75.5993	1501.89	54	FVQ731	23
38387	12	6.26491	-75.5993	1502.1	25	FVQ731	23.5
38533	5	6.26491	-75.5993	1502.1	25	FVQ731	23.5
38713	16	6.26488	-75.5994	1502.87	25	FVQ731	23.5
38822	6	6.23251	-75.6048	1538.46	19	FVQ731	25.5
38906	9	6.23242	-75.605	1537.84	31	FVQ731	27
39076	8	6.19773	-75.5794	1504.12	26	FVQ731	28.5
39733	27	6.19775	-75.5793	1504.06	26	FVQ731	29
41793	5	6.20064	-75.5782	1500.05	100	GHW284	20
41999	1487	6.20063	-75.5782	1500.09	100	GHW284	18
42032	55	6.20057	-75.5782	1500.2	100	GVQ446	22
42511	19	6.20061	-75.5783	1500.06	100	GVQ446	19
43560	67	6.15257	-75.6111	1582.27	95	GVQ446	20
43741	18	6.19316	-75.5798	1510.91	94	GVQ446	19
44008	91	6.17509	-75.4353	2148.88	77	GVQ446	15
44783	78	0	0	-3492	69	GVQ446	23
45034	52	6.20059	-75.5783	1500.14	67	GVQ446	26
45354	2388	6.15278	-75.6114	1580.99	61	GVQ446	24
45356	6	6.15311	-75.6114	1579.08	61	GVQ446	24
46112	43	6.15326	-75.6107	1581.56	61	GVQ446	20
46419	15	6.20071	-75.5784	1499.75	58	GVQ446	29
46680	10	6.1748	-75.5933	1531.82	100	GVQ446	30
47038	17	6.20067	-75.5784	1499.83	100	GVQ446	18
47573	57	6.18596	-75.6484	1796.36	95	GVQ446	15
47841	3	6.11736	-75.6298	1733.77	91	GVQ446	16
